Time of Day,Traffic Light Cycle Time,Signal Actuation,Direction,Average Flow Rate (veh/hr),Average Density (veh/km),Average Inter-Vehicular Distance (m)
AM,110,Off,Northbound,30.83333333333333,1.2080034722222224,497.3761413175821
AM,110,Off,Southbound,29.58333333333333,0.9504166666666666,172.62312007664443
AM,110,Off,Eastbound,68.75,0.1202471967380224,1818.0036957671143
AM,110,Off,Westbound,64.16666666666667,0.1115634556574923,1923.4205270999607
AM,110,On,Northbound,31.666666666666668,0.3535243055555555,263.72803226681623
AM,110,On,Southbound,30.0,0.3199479166666666,265.76203797254993
AM,110,On,Eastbound,65.41666666666667,0.0889334862385321,2189.8448237253983
AM,110,On,Westbound,62.083333333333336,0.0913098878695209,2084.792938747633
AM,70,Off,Northbound,31.666666666666668,0.3535243055555555,263.72803226681623
AM,70,Off,Southbound,30.0,0.3199479166666666,265.76203797254993
AM,70,Off,Eastbound,65.41666666666667,0.0889334862385321,2189.8448237253983
AM,70,Off,Westbound,62.083333333333336,0.0913098878695209,2084.792938747633
AM,70,On,Northbound,30.0,1.2622395833333333,484.59218908528993
AM,70,On,Southbound,29.58333333333333,0.8265972222222221,181.85793231202
AM,70,On,Eastbound,67.5,0.1156472986748216,1879.0672050773776
AM,70,On,Westbound,59.583333333333336,0.1001975025484199,2034.2165629165736
AM,90,Off,Northbound,30.83333333333333,1.2080034722222224,497.3761413175821
AM,90,Off,Southbound,29.58333333333333,0.9504166666666666,172.62312007664443
AM,90,Off,Eastbound,68.75,0.1202471967380224,1818.0036957671143
AM,90,Off,Westbound,64.16666666666667,0.1115634556574923,1923.4205270999607
AM,90,On,Northbound,31.666666666666668,0.3535243055555555,263.72803226681623
AM,90,On,Southbound,30.0,0.3199479166666666,265.76203797254993
AM,90,On,Eastbound,65.41666666666667,0.0889334862385321,2189.8448237253983
AM,90,On,Westbound,62.083333333333336,0.0913098878695209,2084.792938747633
LT,110,Off,Northbound,13.478260869565217,0.3772282608695652,853.1384858321769
LT,110,Off,Southbound,13.91304347826087,0.4035507246376812,294.27146981478086
LT,110,Off,Eastbound,26.08695652173913,0.0330275229357798,2651.5717035606244
LT,110,Off,Westbound,23.91304347826087,0.0332203164472809,2655.860865130762
LT,110,On,Northbound,13.043478260869565,0.124963768115942,388.48798848152353
LT,110,On,Southbound,14.347826086956522,0.2031702898550724,273.7272426464638
LT,110,On,Eastbound,24.347826086956523,0.0315250631564951,2650.6995180545805
LT,110,On,Westbound,18.695652173913043,0.0241124850418827,2934.6341836711017
LT,70,Off,Northbound,13.043478260869565,0.6924094202898551,249.6960682618596
LT,70,Off,Southbound,14.347826086956522,0.3856884057971014,301.77164182356785
LT,70,Off,Eastbound,26.956521739130437,0.0349621061029118,2658.1196797163307
LT,70,Off,Westbound,22.17391304347826,0.02782874617737,2705.1735590108506
LT,70,On,Northbound,13.043478260869565,0.124963768115942,388.48798848152353
LT,70,On,Southbound,14.347826086956522,0.2031702898550724,273.7272426464638
LT,70,On,Eastbound,24.347826086956523,0.0315250631564951,2650.6995180545805
LT,70,On,Westbound,18.695652173913043,0.0241124850418827,2934.6341836711017
LT,90,Off,Northbound,13.043478260869565,0.4282789855072463,1932.0908780097184
LT,90,Off,Southbound,13.478260869565217,0.3188586956521739,357.3587521677193
LT,90,Off,Eastbound,28.695652173913043,0.0359593139210211,2744.609212142185
LT,90,Off,Westbound,19.565217391304348,0.0245645525860922,2868.1359138493403
LT,90,On,Northbound,13.043478260869565,0.124963768115942,388.48798848152353
LT,90,On,Southbound,14.347826086956522,0.2031702898550724,273.7272426464638
LT,90,On,Eastbound,24.347826086956523,0.0315250631564951,2650.6995180545805
LT,90,On,Westbound,18.695652173913043,0.0241124850418827,2934.6341836711017
PM,110,Off,Northbound,35.0,1.05359375,181.9338217369489
PM,110,Off,Southbound,26.666666666666668,0.7301736111111111,186.7014262253662
PM,110,Off,Eastbound,56.66666666666666,0.0760894495412844,2595.896572089104
PM,110,Off,Westbound,53.75,0.0784785932721712,2470.802460553081
PM,110,On,Northbound,31.25,0.3489583333333333,247.76736159156457
PM,110,On,Southbound,28.33333333333333,0.4544965277777778,202.3718131767453
PM,110,On,Eastbound,60.0,0.0782810907237512,2586.681837869752
PM,110,On,Westbound,57.5,0.0777714067278287,2445.5190499162472
PM,70,Off,Northbound,35.0,1.05359375,181.9338217369489
PM,70,Off,Southbound,26.666666666666668,0.7301736111111111,186.7014262253662
PM,70,Off,Eastbound,56.66666666666666,0.0760894495412844,2595.896572089104
PM,70,Off,Westbound,53.75,0.0784785932721712,2470.802460553081
PM,70,On,Northbound,31.25,0.3489583333333333,247.76736159156457
PM,70,On,Southbound,28.33333333333333,0.4544965277777778,202.3718131767453
PM,70,On,Eastbound,60.0,0.0782810907237512,2586.681837869752
PM,70,On,Westbound,57.5,0.0777714067278287,2445.5190499162472
PM,90,Off,Northbound,35.0,1.230798611111111,426.7784653517592
PM,90,Off,Southbound,26.666666666666668,1.2141840277777778,157.04869803866563
PM,90,Off,Eastbound,60.833333333333336,0.1217635066258919,2081.1769150574705
PM,90,Off,Westbound,52.91666666666666,0.0837155963302752,2306.96813098474
PM,90,On,Northbound,31.25,0.3489583333333333,247.76736159156457
PM,90,On,Southbound,28.33333333333333,0.4544965277777778,202.3718131767453
PM,90,On,Eastbound,60.0,0.0782810907237512,2586.681837869752
PM,90,On,Westbound,57.5,0.0777714067278287,2445.5190499162472
